bin,agent_actions_mid,agent_actions_lo,agent_actions_hi,num_seeds,mean_score,std_score,sem_score,mean_hns,std_hns,sem_hns
1,5500.0,0.0,11000.0,5,207.75294117647059,28.106205455070967,12.569477197422819,-0.290541295142385,0.40734221445341184,0.18216897632462523
2,16500.0,11000.0,22000.0,5,265.24912280701756,31.117402960485503,13.916125660579757,0.5427487761709233,0.45098339049095665,0.20168590357222224
3,27500.0,22000.0,33000.0,5,399.2773109243697,55.351895689958084,24.754120289244778,2.4852144367942985,0.8022130130865389,0.35876056593928585
4,38500.0,33000.0,44000.0,5,491.984692122463,91.44158255595349,40.89391891305419,3.8288191440812627,1.3252595335577833,0.5926740809729734
5,49500.0,44000.0,55000.0,5,559.6176900584795,92.58906247438611,41.40708753314044,4.809021725800077,1.3418899183232533,0.600111415138487
6,60500.0,55000.0,66000.0,5,581.3838383838385,88.05828701519123,39.380863149630926,5.124477722631321,1.2762255542137018,0.570745418768836
7,71500.0,66000.0,77000.0,5,668.6470588235294,95.44841745912967,42.68582995667834,6.389180405854134,1.3833304462257388,0.6186441826211738
8,82500.0,77000.0,88000.0,5,801.6224089635855,297.2135422134828,132.91793684457016,8.316387323926225,4.3075050683848,1.9263748292666585
9,93500.0,88000.0,99000.0,5,729.17384004884,123.00335151525866,55.00877108968402,7.266392846980972,1.7826831043241016,0.797240120721808
10,104500.0,99000.0,110000.0,5,876.191208791209,282.9786526343361,126.55190069433507,9.397110230455642,4.101199330922711,1.8341120986439672
