run,bin,step_start,step_end,step_center,mean_score,std_score,count
DreamerV3 official,0,0,43863,21931,196.250000,52.544624,16
DreamerV3 official,1,43863,87726,65794,250.000000,85.569984,18
DreamerV3 official,2,87726,131588,109657,352.666667,54.950483,15
DreamerV3 official,3,131588,175451,153520,420.000000,63.893293,17
DreamerV3 official,4,175451,219314,197383,427.500000,57.608593,16
DreamerV3 official,5,219314,263177,241245,452.222222,53.805778,18
DreamerV3 official,6,263177,307040,285108,481.666667,51.559028,18
DreamerV3 official,7,307040,350902,328971,742.500000,291.215127,16
DreamerV3 official,8,350902,394765,372834,704.444444,195.226997,18
DreamerV3 official,9,394765,438628,416697,735.882353,225.885417,17
HTS-DreamerV3,0,0,43863,21931,221.875000,134.081074,16
HTS-DreamerV3,1,43863,87726,65794,260.000000,62.660321,19
HTS-DreamerV3,2,87726,131588,109657,317.894737,58.090578,19
HTS-DreamerV3,3,131588,175451,153520,336.000000,67.260687,20
HTS-DreamerV3,4,175451,219314,197383,492.222222,214.283186,18
HTS-DreamerV3,5,219314,263177,241245,661.764706,509.489194,17
HTS-DreamerV3,6,263177,307040,285108,680.000000,534.327505,17
HTS-DreamerV3,7,307040,350902,328971,608.750000,217.596961,16
HTS-DreamerV3,8,350902,394765,372834,862.000000,472.936923,15
HTS-DreamerV3,9,394765,438628,416697,1078.125000,379.674511,16
